City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,manokwari,-0.8667,134.0833,77.14,80,98,2.71,ID,1680117083
276,petauke,-14.2426,31.3253,62.91,96,20,4.7,ZM,1680117083
277,salta,-24.7859,-65.4117,89.58,47,0,1.01,AR,1680117083
278,osakarovka,50.565,72.5692,34.84,95,89,12.84,KZ,1680117083
279,zhizdra,53.746,34.7395,33.44,86,100,8.48,RU,1680117083
280,jalu,29.0331,21.5482,61.92,28,0,9.37,LY,1680117084
281,bonthe,7.5264,-12.505,81.18,78,12,8.61,SL,1680117084
282,san jose,37.3394,-121.895,52.25,86,100,13.0,US,1680116890
283,grindavik,63.8424,-22.4338,43.27,70,75,20.71,IS,1680117085
284,miracatu,-24.2814,-47.4597,86.13,66,62,2.42,BR,1680117054
285,krasnyy chikoy,50.3643,108.7512,29.19,91,96,2.62,RU,1680117085
286,roebourne,-20.7833,117.1333,81.77,79,100,13.35,AU,1680117085
287,sorong,-0.8833,131.25,79.61,79,100,2.37,ID,1680116797
288,salalah,17.0151,54.0924,82.49,61,40,3.44,OM,1680116848
289,tarabuco,-19.1667,-64.9167,64.76,47,59,8.3,BO,1680117085
290,byron bay,-28.65,153.6167,68.7,86,88,5.44,AU,1680117086
291,nanortalik,60.1432,-45.2371,28.6,80,70,4.79,GL,1680117086
292,carnarvon,-24.8667,113.6333,75.13,78,100,6.91,AU,1680117064
293,zomin,39.9606,68.3958,60.46,69,100,5.59,UZ,1680117086
294,lagoa,39.05,-27.9833,60.33,78,100,26.57,PT,1680117086
295,bay saint louis,30.3088,-89.33,65.1,47,100,6.71,US,1680117086
296,ranikhet,29.65,79.4167,50.5,51,67,4.12,IN,1680117086
297,lincoln,40.8,-96.667,44.35,51,0,14.97,US,1680117073
298,qaqortoq,60.7167,-46.0333,26.67,73,17,0.54,GL,1680117087
299,barra do garcas,-15.89,-52.2567,87.67,55,21,5.32,BR,1680117087
300,proti,40.95,24.0,42.03,37,11,4.9,GR,1680117087
301,cabedelo,-6.9811,-34.8339,81.27,74,49,9.62,BR,1680117087
302,corinto,37.9407,22.9573,49.89,42,0,3.24,GR,1680117087
303,umm kaddadah,13.6017,26.6876,78.98,10,5,12.44,SD,1680117088
304,tari,12.4086,4.4914,90.41,9,82,9.22,NG,1680117088
305,port macquarie,-31.4333,152.9167,62.89,80,0,5.66,AU,1680117088
306,otradnoye,59.7775,30.8181,28.45,91,100,8.05,RU,1680117089
307,bubaque,11.2833,-15.8333,77.79,70,9,13.98,GW,1680117089
308,taltal,-25.4,-70.4833,72.25,71,22,5.99,CL,1680117090
309,gorin,51.1983,136.6669,31.78,91,100,3.53,RU,1680117090
310,kijang,35.2442,129.2139,54.36,61,7,4.23,KR,1680117090
311,luderitz,-26.6481,15.1594,63.07,64,0,24.47,NA,1680117091
312,provideniya,64.3833,-173.3,21.69,91,100,14.79,RU,1680117091
313,villa carlos paz,-31.4241,-64.4978,71.89,27,52,8.99,AR,1680117091
314,capaci,38.1711,13.2393,56.8,62,0,6.91,IT,1680117091
315,itarema,-2.9248,-39.9167,82.26,75,22,11.07,BR,1680117092
316,dire,12.2833,-10.9667,96.49,9,15,3.29,ML,1680117092
317,santa maria,-29.6842,-53.8069,90.14,41,99,7.25,BR,1680117093
318,isangel,-19.55,169.2667,76.75,87,68,5.79,VU,1680117093
319,ugoofaaru,5.6667,73.0,83.25,71,74,3.98,MV,1680117093
320,presidencia roque saenz pena,-26.7852,-60.4388,102.0,27,14,11.39,AR,1680117093
321,nakhon si thammarat,8.25,100.0,75.88,85,0,0.6,TH,1680117093
322,nizhniy kuranakh,58.8353,125.4869,-1.46,100,96,3.98,RU,1680117093
323,hamilton,39.1834,-84.5333,58.24,38,20,16.11,US,1680116880
324,kavaratti,10.5669,72.642,81.72,69,31,8.79,IN,1680117094
325,bud,39.447,-86.1758,56.93,46,100,14.25,US,1680117094
326,anshun,26.25,105.9333,48.79,91,100,3.4,CN,1680117094
327,ponferrada,42.5466,-6.5962,60.1,41,6,4.85,ES,1680116944
328,kahului,20.8947,-156.47,78.84,75,20,4.0,US,1680117094
329,pundaguitan,6.3711,126.1689,80.73,76,100,7.85,PH,1680117094
330,ust-nera,64.5667,143.2,12.63,98,100,4.18,RU,1680117094
331,kokstad,-30.5472,29.4241,52.63,93,100,2.75,ZA,1680117094
332,maniitsoq,65.4167,-52.9,20.32,70,8,6.31,GL,1680117095
333,maralal,1.0968,36.698,62.85,73,100,5.59,KE,1680117095
334,baherden,38.4362,57.4316,69.75,41,0,6.71,TM,1680117095
335,pidhorodne,48.5753,35.1068,34.12,74,100,11.65,UA,1680117095
336,victoria point,-27.5833,153.3,69.91,93,100,10.13,AU,1680117095
337,lebu,-37.6167,-73.65,57.06,57,15,16.73,CL,1680117095
338,vardo,70.3705,31.1107,30.18,93,100,32.21,NO,1680117096
339,mandera,3.9366,41.867,87.84,51,13,3.27,KE,1680117096
340,port hardy,50.6996,-127.4199,45.48,57,81,3.09,CA,1680117096
341,grand gaube,-20.0064,57.6608,79.38,74,88,3.0,MU,1680117096
342,goderich,43.7501,-81.7165,33.91,58,100,27.51,CA,1680117096
343,zalantun,48.0,122.7167,36.18,59,63,2.98,CN,1680117097
344,hue,16.4667,107.6,70.02,96,72,0.74,VN,1680117097
345,rajapalaiyam,9.45,77.5667,80.65,75,76,2.15,IN,1680117097
346,zhigansk,66.7697,123.3711,-16.28,100,23,2.86,RU,1680117097
